"동별(1)",동별(2),동별(3),2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11,2024. 11
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",은평구,대조동,15514,27678,12699,14979,27296,12567,14729,382,132,250
"합계",은평구,응암1동,15092,32640,15166,17474,32278,15015,17263,362,151,211
"합계",은평구,응암2동,11002,27387,13212,14175,27177,13121,14056,210,91,119
"합계",은평구,신사1동,11968,26312,12507,13805,26086,12432,13654,226,75,151
"합계",은평구,신사2동,8690,18928,9316,9612,18758,9265,9493,170,51,119
"합계",은평구,증산동,6961,16192,7848,8344,16051,7781,8270,141,67,74
"합계",은평구,수색동,8527,21337,10288,11049,21112,10190,10922,225,98,127
"합계",은평구,진관동,21218,53809,24914,28895,53589,24826,28763,220,88,132
"합계",은평구,불광2동,14131,26820,12861,13959,26578,12768,13810,242,93,149
"합계",은평구,응암3동,12552,23662,11384,12278,23217,11205,12012,445,179,266
"합계",은평구,역촌동,20657,43858,20498,23360,43393,20302,23091,465,196,269
"합계",서대문구,소계,146502,319460,148571,170889,303453,143714,159739,16007,4857,11150
"합계",서대문구,천연동,7646,16708,7877,8831,16513,7768,8745,195,109,86
"합계",서대문구,홍제1동,11067,24820,11607,13213,24562,11496,13066,258,111,147
"합계",서대문구,홍제3동,7974,17646,8422,9224,17475,8355,9120,171,67,104
"합계",서대문구,홍제2동,5495,12600,5871,6729,12497,5834,6663,103,37,66
"합계",서대문구,홍은1동,9668,22258,10665,11593,22030,10583,11447,228,82,146
"합계",서대문구,홍은2동,13057,29192,13813,15379,28232,13467,14765,960,346,614
"합계",서대문구,남가좌1동,6159,16913,8064,8849,16675,7969,8706,238,95,143
"합계",서대문구,남가좌2동,13315,30328,14303,16025,28844,13856,14988,1484,447,1037
"합계",서대문구,북가좌1동,6766,17583,8388,9195,17463,8346,9117,120,42,78
"합계",서대문구,북가좌2동,14500,30576,14708,15868,30186,14564,15622,390,144,246
"합계",서대문구,충현동,9996,19946,9578,10368,19465,9355,10110,481,223,258
"합계",서대문구,북아현동,7095,15738,7555,8183,15407,7421,7986,331,134,197
"합계",서대문구,신촌동,15083,28022,10379,17643,20372,8666,11706,7650,1713,5937
"합계",서대문구,연희동,18681,37130,17341,19789,33732,16034,17698,3398,1307,2091
"합계",마포구,소계,181281,373343,172640,200703,361841,168544,193297,11502,4096,7406
"합계",마포구,용강동,9271,21680,10145,11535,21288,9960,11328,392,185,207
"합계",마포구,대흥동,8662,16279,7555,8724,14340,6950,7390,1939,605,1334
"합계",마포구,염리동,7742,17748,8275,9473,16839,8022,8817,909,253,656
"합계",마포구,신수동,10088,22549,10956,11593,22157,10796,11361,392,160,232
"합계",마포구,서교동,15227,26048,11499,14549,23832,10879,12953,2216,620,1596
"합계",마포구,합정동,9131,16431,7519,8912,16068,7384,8684,363,135,228
"합계",마포구,망원1동,10078,19123,8819,10304,18802,8678,10124,321,141,180
"합계",마포구,망원2동,8309,17804,8247,9557,17564,8154,9410,240,93,147
"합계",마포구,연남동,8317,15024,6935,8089,14079,6574,7505,945,361,584
"합계",마포구,성산1동,9563,18903,8696,10207,18522,8542,9980,381,154,227
"합계",마포구,성산2동,19669,38937,17190,21747,38541,17074,21467,396,116,280
"합계",마포구,상암동,12756,30258,14133,16125,29482,13782,15700,776,351,425
"합계",마포구,도화동,9325,20795,9838,10957,20541,9709,10832,254,129,125
"합계",마포구,서강동,12223,25254,11946,13308,24452,11691,12761,802,255,547
"합계",마포구,공덕동,18511,36858,17143,19715,36198,16835,19363,660,308,352
"합계",마포구,아현동,12409,29652,13744,15908,29136,13514,15622,516,230,286
"합계",양천구,소계,180315,434979,211898,223081,431623,210547,221076,3356,1351,2005
"합계",양천구,목1동,10339,30299,14514,15785,30157,14443,15714,142,71,71
"합계",양천구,목2동,13265,28668,13819,14849,28418,13729,14689,250,90,160
"합계",양천구,목3동,10120,21163,10038,11125,20986,9973,11013,177,65,112
"합계",양천구,목4동,9977,24352,11838,12514,24182,11778,12404,170,60,110
"합계",양천구,신월1동,9894,19235,9883,9352,18967,9771,9196,268,112,156
"합계",양천구,신월2동,8681,20784,10121,10663,20599,10044,10555,185,77,108
"합계",양천구,신월3동,7597,14225,7466,6759,14030,7381,6649,195,85,110
"합계",양천구,신월4동,6818,17251,8351,8900,17142,8318,8824,109,33,76
"합계",양천구,신월5동,6371,14029,6920,7109,13884,6864,7020,145,56,89
"합계",양천구,신월6동,5360,13823,6739,7084,13761,6711,7050,62,28,34
"합계",양천구,신월7동,9014,18437,8937,9500,18290,8890,9400,147,47,100
"합계",양천구,신정1동,6946,19747,9577,10170,19642,9525,10117,105,52,53
"합계",양천구,신정2동,6804,18646,9134,9512,18571,9098,9473,75,36,39
"합계",양천구,신정3동,19599,49143,23685,25458,48804,23540,25264,339,145,194
"합계",양천구,신정6동,8187,23982,11608,12374,23953,11596,12357,29,12,17
"합계",양천구,신정7동,11463,28207,13503,14704,28047,13437,14610,160,66,94
"합계",양천구,목5동,13491,40806,20227,20579,40692,20178,20514,114,49,65
"합계",양천구,신정4동,16389,32182,15538,16644,31498,15271,16227,684,267,417
"합계",강서구,소계,274062,563035,269230,293805,557095,266725,290370,5940,2505,3435
"합계",강서구,염창동,16689,41365,19816,21549,41226,19764,21462,139,52,87
"합계",강서구,등촌1동,14399,25283,11620,13663,25035,11536,13499,248,84,164
"합계",강서구,등촌2동,8595,19352,9444,9908,19204,9382,9822,148,62,86
"합계",강서구,등촌3동,15135,29248,13674,15574,29063,13600,15463,185,74,111
"합계",강서구,화곡본동,17240,32748,15817,16931,32299,15657,16642,449,160,289
"합계",강서구,화곡2동,8138,17159,8220,8939,16859,8109,8750,300,111,189
"합계",강서구,화곡3동,9652,20940,9956,10984,20780,9891,10889,160,65,95
"합계",강서구,화곡4동,9557,19503,9509,9994,19211,9391,9820,292,118,174
"합계",강서구,화곡6동,13551,26003,12414,13589,25718,12300,13418,285,114,171
"합계",강서구,화곡8동,11484,23207,11158,12049,22805,10986,11819,402,172,230
"합계",강서구,가양1동,21077,34036,15276,18760,33756,15166,18590,280,110,170
"합계",강서구,가양2동,7967,13295,6237,7058,13231,6218,7013,64,19,45
"합계",강서구,가양3동,7662,13853,6390,7463,13764,6357,7407,89,33,56
"합계",강서구,발산1동,13574,35532,16782,18750,35225,16589,18636,307,193,114
"합계",강서구,공항동,13926,30049,15178,14871,29481,14878,14603,568,300,268
"합계",강서구,방화1동,17200,41845,20422,21423,41586,20312,21274,259,110,149
"합계",강서구,방화2동,12325,23116,11417,11699,22840,11283,11557,276,134,142
"합계",강서구,방화3동,11152,21812,10441,11371,21687,10401,11286,125,40,85
"합계",강서구,화곡1동,27914,50950,24610,26340,49836,24160,25676,1114,450,664
"합계",강서구,우장산동,16825,43739,20849,22890,43489,20745,22744,250,104,146
"합계",구로구,소계,183917,412026,202760,209266,388488,190209,198279,23538,12551,10987
"합계",구로구,신도림동,14405,36328,17457,18871,36010,17312,18698,318,145,173
"합계",구로구,구로1동,8420,20653,10055,10598,20451,9965,10486,202,90,112
"합계",구로구,구로3동,13582,24739,12744,11995,22992,11876,11116,1747,868,879
"합계",구로구,구로4동,10210,22130,10873,11257,18236,8738,9498,3894,2135,1759
"합계",구로구,구로5동,15743,31701,15536,16165,29014,14148,14866,2687,1388,1299
"합계",구로구,고척1동,11678,26763,13357,13406,26470,13208,13262,293,149,144
"합계",구로구,고척2동,11422,25957,12748,13209,25491,12517,12974,466,231,235
"합계",구로구,개봉2동,12200,29705,14354,15351,29262,14137,15125,443,217,226
"합계",구로구,개봉3동,8644,19788,9569,10219,19339,9359,9980,449,210,239
"합계",구로구,오류1동,12793,23256,11055,12201,22569,10748,11821,687,307,380
"합계",구로구,수궁동,9982,22896,11169,11727,22424,10956,11468,472,213,259
"합계",구로구,가리봉동,6021,12400,6916,5484,8729,4784,3945,3671,2132,1539
"합계",구로구,구로2동,12088,28695,14778,13917,22124,11113,11011,6571,3665,2906
"합계",구로구,개봉1동,15051,33731,16679,17052,32970,16307,16663,761,372,389
"합계",구로구,오류2동,15423,36825,17499,19326,36216,17194,19022,609,305,304
"합계",구로구,항동,6255,16459,7971,8488,16191,7847,8344,268,124,144
"합계",금천구,소계,121056,239219,120535,118684,225371,113304,112067,13848,7231,6617
"합계",금천구,가산동,18428,27356,14725,12631,24871,13380,11491,2485,1345,1140
"합계",금천구,독산1동,26015,49033,24825,24208,47190,23901,23289,1843,924,919
"합계",금천구,독산2동,9308,18780,9439,9341,17477,8781,8696,1303,658,645
"합계",금천구,독산3동,12700,26332,13435,12897,23045,11638,11407,3287,1797,1490
"합계",금천구,독산4동,7471,15840,7958,7882,14175,7085,7090,1665,873,792
"합계",금천구,시흥1동,16373,33375,16592,16783,31677,15727,15950,1698,865,833
"합계",금천구,시흥2동,8163,20359,9753,10606,20246,9706,10540,113,47,66
"합계",금천구,시흥3동,4673,10347,5100,5247,10186,5018,5168,161,82,79
"합계",금천구,시흥4동,8880,19477,9622,9855,18800,9287,9513,677,335,342
"합계",금천구,시흥5동,9045,18320,9086,9234,17704,8781,8923,616,305,311
"합계",영등포구,소계,192241,397442,194952,202490,374201,183006,191195,23241,11946,11295
"합계",영등포구,여의동,14148,34287,16121,18166,33921,15939,17982,366,182,184
"합계",영등포구,당산1동,11837,21617,10357,11260,21177,10180,10997,440,177,263
"합계",영등포구,당산2동,18893,36883,17166,19717,36458,16993,19465,425,173,252
"합계",영등포구,양평1동,10010,18487,8808,9679,18198,8681,9517,289,127,162
"합계",영등포구,양평2동,11332,22944,11064,11880,22722,10986,11736,222,78,144
"합계",영등포구,신길1동,11661,20474,10406,10068,19148,9716,9432,1326,690,636
"합계",영등포구,신길3동,7583,16893,8344,8549,15948,7850,8098,945,494,451
"합계",영등포구,신길4동,5702,12616,6229,6387,11950,5887,6063,666,342,324
"합계",영등포구,신길5동,4448,10661,5244,5417,9662,4698,4964,999,546,453
"합계",영등포구,신길6동,9101,18571,9026,9545,17912,8701,9211,659,325,334
"합계",영등포구,신길7동,7883,19865,9853,10012,19673,9760,9913,192,93,99
"합계",영등포구,대림1동,6838,16008,7999,8009,13505,6681,6824,2503,1318,1185
